source_url,source_heading_block,target_route,target_section,preservation_status,rewrite_notes,omission_reason
/,H1 Welcome to Aurora,/index.html,hero,PRESERVED,Kept as hero heading,
/,Serving Richmond for 40+ Years,/index.html,hero rotating captions / trust band,PRESERVED,Used as trust-stat / hero caption,
/,Experienced Dentists and Denturists,/index.html,trust band,PRESERVED,,
/,Implants and Orthodontics to restore your smile,/index.html,trust band,PRESERVED,,
/,Intro paragraph (35 years / non-invasive / preventative),/index.html,welcome section,PRESERVED,Verbatim,
/,BOOK NOW CTA,/index.html,hero + sticky header,PRESERVED,Links to /contact/#booking_form,
/,4 hero/feature images,/index.html,hero + feature grid,PRESERVED,All 4 used,
/staff/,H1 Meet the Team,/staff/index.html,page header,PRESERVED,,
/staff/,Dr. Lucy Liu bio (5 paras),/staff/index.html,team card 1,PRESERVED,Verbatim,
/staff/,Dr. James Hsia bio (3 paras),/staff/index.html,team card 2,PRESERVED,Verbatim,
/staff/,Kyla Imbat bio,/staff/index.html,team card 3,PRESERVED,Verbatim,
/staff/,Avneet Kang bio (2 paras),/staff/index.html,team card 4,PRESERVED,Verbatim,
/services/,H1 + intro (full spectrum / no sedation),/services/index.html,page header + intro,PRESERVED,Verbatim,
/services/,Restorative (5 paras incl. no-amalgam),/services/index.html,service section,PRESERVED,Verbatim,
/services/,Endodontics (root canal steps),/services/index.html,service section,PRESERVED,Verbatim,
/services/,Periodontics + 4 sub-treatments,/services/index.html,service section,PRESERVED,Verbatim list,
/services/,Oral surgery,/services/index.html,service section,PRESERVED,Verbatim,
/services/,Implants (4 paras),/services/index.html,service section,PRESERVED,Verbatim,
/services/,Dentures (4 paras),/services/index.html,service section,PRESERVED,Verbatim,
/services/,Prosthodontics,/services/index.html,service section,PRESERVED,Verbatim,
/services/,Orthodontics (ClearCorrect),/services/index.html,service section,PRESERVED,Verbatim,
/services/,Cosmetic: Injections + Whitening,/services/index.html,service section,PRESERVED,Verbatim,
/services/,Closing call-front-desk line,/services/index.html,services CTA,PRESERVED,,
/faq/,10 Q&A items,/faq/index.html,accordion,PRESERVED,All 10 verbatim; accordion interaction reproduced,
/contact/,Intro paragraph,/contact/index.html,page header,PRESERVED,Verbatim,
/contact/,Location and Hours (address/phone/email/hours table),/contact/index.html,info column,PRESERVED,Verbatim,
/contact/,Google Maps embed,/contact/index.html,map,PRESERVED,Same place/coords iframe,
/contact/,Booking/contact form (4 fields),/contact/index.html,#booking_form,PRESERVED,Same fields+required; mailto submission (see CLAUDE.md),
/ (global),Footer copyright + cookie notice + support email,all routes,footer,PRESERVED,Verbatim global footer,
